-------------
W160al
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 88.8Hz 144Hz  234Hz  106.4dB    5l +   6l  - 1x50mm    450mm
 96.4Hz 153Hz  242Hz  107.9dB    4l +   6l    1x70mm    787mm
104.6Hz 162Hz  250Hz  109.3dB    4l +   6l    1x70mm    701mm
113.4Hz 171Hz  259Hz  110.7dB    3l +   6l    1x70mm    625mm
122.8Hz 182Hz  268Hz  112.1dB    3l +   6l    1x70mm    557mm
-------------
ax8
            91.7dB            10W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.5Hz  32Hz   67Hz   80.8dB -350l +  49l  * 1x40mm    730mm
